epoch,cost
777,2673.4560546875
778,2632.7260742188
779,2672.2241210938
780,2627.5893554688
781,2612.1809082031
782,2632.4555664063
783,2611.1408691406
784,2636.7084960938
785,2618.1962890625
786,2612.5837402344
787,2640.0480957031
788,2688.7468261719
789,2747.3583984375
790,2698.986328125
791,2611.9670410156
792,2590.1142578125
793,2581.8525390625
794,2633.8649902344
795,2629.7583007813
796,2615.0751953125
797,2658.4421386719
798,2605.7485351563
799,2649.0830078125
800,2652.0727539063
801,2713.5092773438
802,2661.1528320313
803,2585.8818359375
804,2573.5078125
805,2604.3798828125
806,2634.1655273438
807,2667.2563476563
808,2620.9025878906
809,2634.5122070313
810,2592.1154785156
811,2606.2692871094
812,2629.349609375
813,2608.2763671875
814,2591.681640625
815,2586.0727539063
816,2543.1635742188
817,2530.9260253906
818,2553.2133789063
819,2539.2951660156
820,2584.8386230469
821,2560.7194824219
822,2562.45703125
823,2563.3920898438
824,2573.4138183594
825,2584.9274902344
826,2643.2495117188
827,2586.3779296875
828,2620.376953125
829,2590.5317382813
830,2591.1616210938
831,2561.9050292969
832,2576.2263183594
833,2589.5068359375
834,2544.4682617188
835,2566.71484375
836,2598.5073242188
837,2619.337890625
838,2595.3037109375
839,2550.6069335938
840,2543.9638671875
841,2535.0859375
842,2582.07421875
843,2571.1450195313
844,2546.3852539063
845,2681.4887695313
846,2687.9489746094
847,2670.8588867188
848,2673.470703125
849,2593.2041015625
850,2560.5610351563
851,2618.1845703125
852,2616.173828125
853,2580.7253417969
854,2641.099609375
855,2635.7041015625
856,2574.3815917969
857,2533.7778320313
858,2534.9985351563
859,2536.1982421875
860,2550.802734375
861,2524.5673828125
862,2546.4936523438
863,2621.52734375
864,2580.2727050781
865,2572.4108886719
866,2667.337890625
867,2604.9462890625
868,2623.5009765625
869,2609.9577636719
870,2638.7099609375
871,2630.3796386719
872,2634.8266601563
873,2598.9384765625
874,2593.0209960938
875,2572.8430175781
876,2575.7512207031
877,2623.5183105469
878,2595.4936523438
879,2600.1442871094
880,2566.7502441406
881,2596.7524414063
882,2544.6743164063
883,2546.7082519531
884,2598.6010742188
885,2549.8940429688
886,2605.9204101563
887,2600.9760742188
888,2564.0498046875
889,2629.4321289063
890,2638.3876953125
891,2643.3322753906
892,2580.3857421875
893,2554.3669433594
894,2582.4287109375
895,2572.4487304688
896,2528.3586425781
897,2535.1821289063
898,2527.2705078125
899,2511.5705566406
900,2524.8491210938
901,2528.0415039063
902,2572.9770507813
903,2542.7097167969
904,2559.9008789063
905,2501.9982910156
906,2516.7124023438
907,2512.326171875
908,2561.5561523438
909,2582.6159667969
910,2624.8393554688
911,2727.5727539063
912,2539.3962402344
913,2553.6052246094
914,2534.267578125
915,2524.2856445313
916,2527.1770019531
917,2574.1999511719
918,2534.4672851563
919,2536.7902832031
920,2540.1899414063
921,2555.2915039063
922,2616.8950195313
923,2531.2292480469
924,2529.4348144531
925,2556.8583984375
926,2527.4575195313
927,2531.7687988281
928,2582.9943847656
929,2537.6474609375
930,2567.0629882813
931,2585.4609375
932,2535.4108886719
933,2504.0822753906
934,2499.859375
935,2482.4091796875
936,2521.2104492188
937,2533.2944335938
938,2549.8618164063
939,2543.6962890625
940,2513.9228515625
941,2509.044921875
942,2531.5087890625
943,2495.9353027344
944,2492.7138671875
945,2480.974609375
946,2483.1552734375
947,2495.2993164063
948,2502.8569335938
949,2486.9934082031
950,2529.1684570313
951,2527.5502929688
952,2522.4311523438
953,2505.7746582031
954,2522.3559570313
955,2644.1313476563
956,2572.6518554688
957,2564.216796875
958,2558.5832519531
959,2558.560546875
960,2579.9948730469
961,2543.3125
962,2508.7641601563
963,2526.4375
964,2555.3603515625
965,2548.3461914063
966,2512.896484375
967,2552.2038574219
968,2528.3269042969
969,2510.6796875
970,2520.0009765625
971,2498.1418457031
972,2508.5751953125
973,2573.5744628906
974,2485.8588867188
975,2482.0708007813
976,2545.2609863281
977,2600.2639160156
978,2517.4020996094
979,2536.7019042969
980,2485.33984375
981,2494.4318847656
982,2580.982421875
983,2614.9033203125
984,2558.3740234375
985,2522.0966796875
986,2517.7595214844
987,2533.5986328125
988,2511.2280273438
989,2500.0498046875
990,2526.32421875
991,2492.3276367188
992,2528.1101074219
993,2543.1218261719
994,2569.5170898438
995,2507.4990234375
996,2549.029296875
997,2535.205078125
998,2521.8488769531
999,2513.9921875
1000,2594.6821289063
